X Lag Time,Record 1: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 1,Record 2: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 2,Record 3: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 3,X Intensity,Record 1: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 1,Record 2: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 2,Record 3: EVs_3e9_BSA_001mg_000rpm_00-00min_NA_No1_230831 3
0.5,0.847,0.819,0.829,0.4,0,0,0
1,0.838,0.81,0.819,0.463,0,0,0
1.5,0.816,0.793,0.801,0.536,0,0,0
2,0.8,0.777,0.785,0.621,0,0,0
2.5,0.784,0.763,0.769,0.719,0,0,0
3,0.766,0.748,0.753,0.833,0,0,0
3.5,0.751,0.734,0.738,0.965,0,0,0
4,0.738,0.721,0.722,1.12,0,0,0
4.5,0.724,0.706,0.709,1.29,0,0,0
5.5,0.696,0.68,0.681,1.5,0,0,0
6.5,0.668,0.653,0.654,1.74,0,0,0
7.5,0.642,0.632,0.629,2.01,0,0,0
8.5,0.62,0.609,0.608,2.33,0,0,0
9.5,0.595,0.59,0.584,2.7,0,0,0
10.5,0.574,0.569,0.564,3.12,0,0,0
11.5,0.553,0.551,0.543,3.62,0,0,0
12.5,0.532,0.532,0.524,4.19,0,0,0.106
14.5,0.498,0.498,0.489,4.85,0.162,0.0257,0.802
16.5,0.466,0.467,0.457,5.61,1.56,1.43,2.18
18.5,0.437,0.44,0.428,6.5,3.95,3.86,4.04
20.5,0.409,0.414,0.402,7.53,6.56,6.42,5.98
22.5,0.384,0.391,0.378,8.72,8.64,8.29,7.6
24.5,0.363,0.369,0.355,10.1,9.69,9.05,8.57
26.5,0.341,0.35,0.335,11.7,9.56,8.67,8.73
28.5,0.323,0.333,0.317,13.5,8.4,7.41,8.08
32.5,0.29,0.302,0.286,15.7,6.57,5.69,6.81
36.5,0.262,0.275,0.259,18.2,4.51,3.9,5.17
40.5,0.238,0.252,0.236,21,2.61,2.36,3.47
44.5,0.218,0.233,0.216,24.4,1.17,1.24,1.97
48.5,0.2,0.216,0.198,28.2,0.319,0.588,0.871
52.5,0.185,0.201,0.184,32.7,0,0.356,0.232
56.5,0.173,0.189,0.171,37.8,0,0.44,0
60.5,0.162,0.178,0.16,43.8,0.0814,0.718,0
68.5,0.143,0.158,0.142,50.7,0.316,1.08,0.147
76.5,0.129,0.144,0.128,58.8,0.702,1.44,0.461
84.5,0.118,0.131,0.116,68.1,1.2,1.75,0.911
92.5,0.108,0.122,0.106,78.8,1.73,1.98,1.44
101,0.1,0.113,0.0985,91.3,2.25,2.14,1.98
109,0.0931,0.106,0.0915,106,2.7,2.25,2.46
117,0.0865,0.0991,0.0866,122,3.03,2.3,2.85
125,0.0816,0.0944,0.0815,142,3.22,2.33,3.11
141,0.0734,0.0849,0.0725,164,3.27,2.34,3.22
157,0.0664,0.0774,0.0657,190,3.19,2.33,3.19
173,0.0605,0.0715,0.06,220,2.98,2.31,3.04
189,0.0565,0.0658,0.0553,255,2.69,2.28,2.78
205,0.0526,0.0617,0.0515,295,2.33,2.22,2.45
221,0.0493,0.0584,0.0486,342,1.94,2.12,2.07
237,0.0459,0.0553,0.0463,396,1.54,2,1.68
253,0.0431,0.0523,0.0433,459,1.17,1.83,1.29
285,0.0385,0.0473,0.0374,531,0.829,1.64,0.944
317,0.0344,0.0426,0.0335,615,0.546,1.42,0.642
349,0.0304,0.0387,0.0303,712,0.324,1.17,0.399
381,0.0279,0.0348,0.0269,825,0.166,0.929,0.218
413,0.0252,0.0317,0.0247,955,0.0661,0.692,0.0974
445,0.0234,0.0294,0.0219,1.11E+03,0.0157,0.476,0.0299
477,0.0217,0.0266,0.0206,1.28E+03,0,0.294,0.00309
509,0.0189,0.0241,0.0184,1.48E+03,0,0.155,0
573,0.0149,0.0204,0.0151,1.72E+03,0,0.0629,0
637,0.0125,0.0175,0.0126,1.99E+03,0,0.0145,0
701,0.0104,0.0154,0.012,2.30E+03,0,0,0
765,0.00926,0.0137,0.00984,2.67E+03,0,0,0
829,0.00825,0.011,0.00777,3.09E+03,0,0,0
893,0.00701,0.0105,0.00615,3.58E+03,0,0,0
957,0.00606,0.00975,0.00541,4.15E+03,0,0,0
1.02E+03,0.00521,0.00713,0.00545,4.80E+03,0,0,0
1.15E+03,0.0046,0.00578,0.00365,5.56E+03,0,0,0
1.28E+03,0.00312,0.00477,0.0021,6.44E+03,0,0,0
1.40E+03,0.003,0.0041,0.00262,7.46E+03,0,0,0
1.53E+03,0.00255,0.00361,0.0027,8.63E+03,0,0,0
1.66E+03,0.00146,0.003,0.00221,,,,
1.79E+03,0.00172,0.00249,0.00133,,,,
1.92E+03,0.00137,0.00125,0.000875,,,,
2.04E+03,0.00113,0.000982,0.000966,,,,
2.30E+03,0.000795,0.00129,0.000655,,,,
2.56E+03,0.000644,0.0013,0.000648,,,,
2.81E+03,0.000946,0.00138,0.000341,,,,
3.07E+03,0.000664,0.00126,0.000725,,,,
3.32E+03,0.0011,0.000798,2.75E-05,,,,
3.58E+03,0.00116,0.000622,0.000626,,,,
3.84E+03,0.000709,0.00115,0.00119,,,,
4.09E+03,0.000759,0.00106,0.00104,,,,
4.60E+03,0.0012,0.00116,0.000285,,,,
5.12E+03,0.00111,0.000876,0.000581,,,,
5.63E+03,0.00145,0.000779,0.00061,,,,
6.14E+03,0.000705,0.000593,0.00094,,,,
6.65E+03,0.00113,0.000978,0.000943,,,,
7.16E+03,0.00141,0.000534,0.000523,,,,
7.68E+03,0.00146,0.000298,0.000894,,,,
8.19E+03,0.00125,0.000182,0.00056,,,,
9.21E+03,0.000824,0.00126,0.000755,,,,
1.02E+04,0.000704,0.000936,0.000705,,,,
1.13E+04,0.000575,0.000719,0.000304,,,,
1.23E+04,0.00125,0.0006,0.000589,,,,
1.33E+04,0.00093,0.000481,0.000382,,,,
1.43E+04,0.0012,0.000262,0.00064,,,,
1.54E+04,0.000714,0.00161,0.000304,,,,
1.64E+04,0.00103,0.00128,0.000125,,,,
1.84E+04,0.000852,0.000425,9.91E-05,,,,
2.05E+04,0.000885,0.00071,0.000469,,,,
2.25E+04,0.000952,0.000696,0.000841,,,,
2.46E+04,0.00143,0.00106,0.000272,,,,
2.66E+04,0.000879,0.000818,0.000518,,,,
2.87E+04,0.00148,0.000862,0.000485,,,,
3.07E+04,0.000976,0.000643,0.000188,,,,
3.28E+04,0.000386,0.000653,0.000213,,,,
3.69E+04,0.000905,0.000338,0.000282,,,,
4.10E+04,0.00102,0.000712,0.000787,,,,
4.51E+04,0.000811,0.000378,0.000593,,,,
4.91E+04,0.000667,0.000754,0.000314,,,,
5.32E+04,0.000893,0.000626,0.000373,,,,
5.73E+04,0.000774,0.000925,0.000408,,,,
6.14E+04,0.000733,0.000771,0.000276,,,,
6.55E+04,0.000959,0.000752,0.000157,,,,
7.37E+04,0.000715,0.000739,0.000463,,,,
8.19E+04,0.000947,0.000605,0.000217,,,,
9.01E+04,0.000704,0.000599,0.000311,,,,
9.83E+04,0.000839,0.000614,0.000316,,,,
1.06E+05,0.000703,0.000451,0.000325,,,,
1.15E+05,0.00101,0.000514,0.000546,,,,
1.23E+05,0.000854,0.000624,0.000381,,,,
1.31E+05,0.000881,0.000707,0.000497,,,,
1.47E+05,0.000955,0.000547,0.000216,,,,
1.64E+05,0.000905,0.000537,0.000334,,,,
1.80E+05,0.00084,0.000549,0.000243,,,,
1.97E+05,0.000629,0.000365,0.000224,,,,
2.13E+05,0.000805,0.000406,0.000228,,,,
2.29E+05,0.000915,0.000365,0.000324,,,,
2.46E+05,0.000654,0.000358,0.000297,,,,
2.62E+05,0.000464,0.000541,0.000503,,,,
2.95E+05,0.000615,0.000562,0.00047,,,,
3.28E+05,0.00075,0.000654,0.000475,,,,
3.60E+05,0.00061,0.000501,0.000464,,,,
3.93E+05,0.000641,0.000371,0.000691,,,,
4.26E+05,0.000824,0.000399,0.000215,,,,
4.59E+05,0.000674,0.00041,0.000367,,,,
4.92E+05,0.000709,0.000266,0.000211,,,,
5.24E+05,0.000547,0.000333,0.000418,,,,
5.90E+05,0.000591,0.000238,0.00069,,,,
6.55E+05,0.000461,0.000502,0.000448,,,,
7.21E+05,0.00055,0.000511,0.000617,,,,
7.86E+05,0.000486,0.000315,0.000572,,,,
8.52E+05,0.000716,0.000134,0.000465,,,,
9.18E+05,0.000482,0.000187,0.000207,,,,
9.83E+05,0.000572,0.00011,0.000465,,,,
1.05E+06,0.000623,0.000628,0.000465,,,,
1.18E+06,0.000115,0.000507,0.000118,,,,
1.31E+06,0.000169,0.000464,0.00023,,,,
1.44E+06,0.000678,0.000354,0.000621,,,,
1.57E+06,0.000634,0.000188,0.000256,,,,
1.70E+06,0.000498,0.000483,0.000383,,,,
1.84E+06,0.000228,0.00062,0.000425,,,,
1.97E+06,0.000678,0.000354,0.000417,,,,
2.10E+06,0.000826,0.000756,0.000302,,,,
2.36E+06,0.000824,0.000844,0.000682,,,,
2.62E+06,0.000618,0.000404,0.000585,,,,
2.88E+06,0.000363,0.000313,0.000352,,,,
3.15E+06,0.000806,0.000435,0.00061,,,,
3.41E+06,0.000712,0.000831,0.00103,,,,
3.67E+06,0.000254,0.000771,0.000687,,,,
3.93E+06,0.000646,0.000671,0.000992,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,