Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_25_Bot_ETH_58-Run033,568,54,16,4.5,0.0,0.0,0.0,0.0
2023_07_25_Bot_ETH_58-Run044,160,63,9.0,0.0,0.0,0.0,0.0,0.0